title,label
현금 영수증 해주세요,0
카페라테 가격은 얼마인가요?,3
멤버십 있는데 포인트 쓸 수 있나요?,24
포인트 사용하고 적립 동시에 가능한가요?,5
포인트 사용 없이 적립만 할게요,5
멤버십 카드 드리고 현금으로 계산할게요,2
아이스 아메리카노 주세요,4
지금도 브런치 할인하나요?,0
그럼 크로크무슈와 아이스 아메리카노로 할게요,59
네 할인돼도 적립은 해주죠?,0
현금영수증도 할게요,2
민트 초코 프라푸치노 주세요,3
탑처럼 쌓아주세요,0
민트 시럽도 코가 찡할 만큼 올려주세요,0
포장이요,39
적립도 해주세요,26
아이스 아메리카노 하나랑 녹차라테 주세요,2
녹차라테는 따뜻하게 주세요,0
둘 다 스몰 사이즈로 주세요,0
마시다가 들고나갈 건데 테이크아웃으로 주세요,0
나갈 때 테이크아웃 컵으로 옮겨줄 수 있나요?,26
아메리카노 두 잔 마키아토 한잔 주세요,26
테이크아웃 잔으로 주세요,0
네 머그잔으로 주세요,26
무료인가요,26
추가해주세요,24
아메리카노 교환권이 있는데 다른 걸로 바꿀 수 있을까요?,40
카페라테로 교환해주세요,43
통신사 쿠폰 사용해서 라지 사이즈로 해주세요,11
추가요금은 얼마인가요?,0
이 카드로 해주세요,24
아이스 아메리카노 1잔이랑 아이스 카페라테 1잔 얼마인가요?,4
멤버십 할인되나요?,24
기프티콘 있는데 쓸 수 있나요?,59
여기에서 지하철 타려면 어느 역으로 가야 하나요?,5
여기 주차되나요?,62
쿠앤크 치노 하나요,57
네 아이스요,0
네 먹고 가요,0
여기 카드로 결제해주세요,26
얼마나 기다려야 하나요?,4
카페인 안 들은 음료는 뭐가 있을까요?,27
피지와는 어떤 게 있어요?,11
둘 중에 어떤 게 더 잘 나가요?,11
자몽 피지와 주세요,11
포인트 적립해주세요,0
티 종류도 아이스 가능한가요?,2
그럼 캐머마일 아이스로 하나 주세요,42
네 괜찮아요,0
네 번호로 할게요,0
아 포인트 있으면 포인트 사용해주세요,53
화이트 모카 한 잔 주세요,9
아뇨 테이크아웃이요,0
네 올려주세요,26
따뜻한 걸로 주세요,0
톨 사이즈로 주문할게요,0
아이스 아메리카노 하나랑 카페모카 하나 주세요,0
카페모카는 따뜻한 거로 주세요,0
많이 올려주세요,0
여기서 먹고 갈 거예요,0
괜찮아요,26
아직 런치세트 할인되나요?,0
치킨 파야냐 하나랑 아이스 아메리카노 하나 해서 주세요,59
아메리카노 사이즈 업도 가능한가요?,0
사이즈업해서 주세요,28
삼성페이 되나요?,28
리저브는 처음인데요,31
네 평소에 아메리카노를 주로 마시는데요,11
어떤 맛인가요,8
전 단것은 별로인데요,11
그럼 커피와 어우러지는 케이크도 추천해 주세요,11
카페라테 주세요,8
아니요 테이크아웃이요,0
커피는 텀블러에 담아주세요,26
네 카드 여기요,1
아니오 하나 만들어 주세요,4
아메리카노 1잔 주세요,4
바닐라라테를 두유로 바꿔서 만들어주세요,0
2잔 주문하면 얼마죠?,44
모카 라테 1잔 주세요,24
치즈케이크 하나 추가해주세요,0
아메리카노 두 잔 주문할게요,0
아니요 아이스 아메리카로 주세요,0
테이크아웃할게요,0
치즈 케이크 하나같이 주문할게요,26
저희 그냥 먹고 가겠습니다,0
키오스크에서 현금 결제가 안 되네요,56
아이스 아메리카노 한 잔이랑 스콘 하나 할게요,53
아니요 포장이요,0
네 부탁드릴게요,26
도장 찍어주세요,7
여기 카페인 안 들어간 게 있나요?,2
유자차 차갑게 주문 가능한가요?,11
그럼 루이보스 차갑게 하나랑 유자차 하나 할게요,42
네 여기 KT 더블할인되죠?,0
네 여기 카드 있습니다,59
고구마라테 아이스도 되나요?,4
카페 와이파이 비밀번호 알 수 있을까요?,11
쿠폰 몇 개를 모으면 무료로 아이스커피를 마실 수 있어요?,15
포인트 적립되나요?,2
카페 몇 시까지 해요?,2
오픈이 몇 시인가요?,33
캐러멜 프라푸치노주세요,33
휘핑크림에 캐러멜 드리블이랑 통 잡아 칩 깔아주세요,0
캐러멜 드리블이랑 통 잡아 칩이요,40
포인트 적립할게요,0
아이스 아메리카노랑 밀크티 차가운 거랑 치즈케이크 하나 주세요,2
티라미수는 있나요?,0
그럼 그걸로 할게요,42
네 현금영수증 해주세요,0
네 먹고 갈게요,3
아메리카노 아이스로 하나요,26
작은 사이즈로 주세요,0
쿠키도 주세요,0
아뇨 그냥 주세요,0
할인 카드는 드릴게요,53
아메리카노 하나요,53
아니오 아이스로 주세요,0
아니오 하나 만들어주세요,0
샷 추가해주세요,4
카드 결제할게요,19
맨날 먹던 걸로 한잔 줘요,4
나 여기 매일 왔는데 나 몰라요?,63
아메리카노 한잔 줘요,64
이 날씨에 차가운 거 먹어요?,0
얼마에요?,65
아메리카노 2잔 주세요,24
하나는 따뜻한 거 하나는 차가운 거로 주세요,0
조금 마시다가 갈 거에요,0
여기 쿠폰 도장 찍어주세요,26
그리고 미지근한 물도 1잔만 부탁드려요,2
아이스 아메리카노 두 잔이랑 말차 케이크 한 개 주세요,66
아니요 먹고 갈 거예요,0
두 개 주세요,26
얼마 안 있고 갈 건데 테이크 아웃 잔에 주시면 안 될까요?,48
유리잔에 주세요,26
아메리카노 샷 추가로 주세요,67
네 여기 텀블러에 담아주세요,0
시럽은 어디 있나요?,1
크랜베리 스콘 두 개도 포장해주세요,54
총 금액 알려주세요,0
아이스 아메리카노랑 샌드위치 주세요,24
그렇게 해주세요,0
매장에서 먹고 갈 거예요,0
음료는 텀블러에 담아주세요,26
네 감사합니다,1
위에 자리 있나요?,1
아이스 바닐라라테 두 잔 주세요,22
하나는 그냥 주시고 하나는 올려주세요,0
네 만들어주세요,0
카드 여기 있습니다,4
여기 처음 와서 그런데 시그니처 음료나 메뉴가 있나요?,4
데이바이데이가 뭐예요?,8
오늘 쓰시는 원두는 뭐죠?,11
어떤 향이 나나요?,11
그럼 그걸로 한잔 주시겠어요,11
오늘의 커피는 무엇이죠?,0
미지근하게 되나요?,11
머그잔 할인 가능한가요?,65
남은 자리는 있나요?,59
쿠폰 찍어주세요,22
핫 아메리카노 두 잔 주세요,2
둘 다 레귤러로 주세요,0
치즈 케이크도 하나 주세요,0
네 먹고 갈 거예요,0
여기 멤버십 할인도 해주세요,26
아메리카노 한 잔 주세요,13
아이스로 주세요,0
네 먹고 갈 건데 혹시 테이크아웃 잔에 주시면 안 될까요?,0
그냥 머그컵에 주세요,26
여기 카드 드릴게요,67
오늘 영업 종료시간이 몇 시인가요?,4
와이파이 되나요?,33
라테 2잔이랑 치즈케이크 1조각 주세요,15
네 그렇게 해 주세요,0
그냥 주세요,4
아이스 아메리카노 주세요,0
케이크는 어떤 게 있나요?,0
아이스 아메리카노랑 블루베리 케이크 세트로 주세요,11
테이크아웃 할게요,0
아니요 하나 만들어주세요,26
녹차라테 한 잔에 얼마인가요?,4
아이스 녹차라테로 가능한가요?,24
마카롱은 종류가 몇 개인가요?,42
아이스 녹차라테랑 마카롱 종류별로 주세요,11
테이크아웃 해 갈게요,0
모카 프 라프 치노 한잔 얼마에요?,26
혹시 안에 자바칩 추가 가능한가요?,24
네 그리고 생크림도 올려주세요,42
네 올려주세요,0
삼성페이 결제되나요?,40
아메리카노 숏 사이즈 주세요,31
엘지 VIP 할인받을게요,0
포인트 적립카드 만들 수 있을까요?,13
적립해서 머그잔도 받을 수 있나요?,2
금액의 몇 프로 적립되나요?,2
조각 케이크 포장되나요?,2
어떻게 포장되나요?,38
진열된 케이크밖에 없나요?,38
쿠키앤크림하고 초콜릿하고 스트로베리로 해서 포장해주세요,11
커피를 마시고 있어서 한 30분쯤 후에 포장 부탁드릴게요,0
아이스 라테 한잔 주세요,26
그란데요,0
이 기프티콘 사용되나요?,0
얼마가 모자란데요?,5
벤티 사이즈로 주세요,24
바닐라 라테 한잔 주세요,56
시원한 걸로 주세요,0
바닐라 시럽 절반만 넣어주세요,0
커피는 테이크 아웃으로 부탁드려요,39
카페 쿠폰 찍어주세요,26
아이스 아메리카노 얼마예요?,2
